Prompt_Type,Prompt_Text,Temperature,Run,Response
Factual,What is the capital of France? Answer in one word.,0.1,1,Paris.
Factual,What is the capital of France? Answer in one word.,0.1,2,Paris.
Factual,What is the capital of France? Answer in one word.,0.1,3,Paris.
Factual,What is the capital of France? Answer in one word.,0.1,4,Paris.
Factual,What is the capital of France? Answer in one word.,0.1,5,Paris.
Factual,What is the capital of France? Answer in one word.,0.7,1,Paris.
Factual,What is the capital of France? Answer in one word.,0.7,2,Paris.
Factual,What is the capital of France? Answer in one word.,0.7,3,Paris.
Factual,What is the capital of France? Answer in one word.,0.7,4,Paris.
Factual,What is the capital of France? Answer in one word.,0.7,5,Paris.
Factual,What is the capital of France? Answer in one word.,1.0,1,Paris.
Factual,What is the capital of France? Answer in one word.,1.0,2,Paris.
Factual,What is the capital of France? Answer in one word.,1.0,3,Paris.
Factual,What is the capital of France? Answer in one word.,1.0,4,Paris.
Factual,What is the capital of France? Answer in one word.,1.0,5,Paris.
Creative,Write a two-sentence poem about a lonely robot on Mars.,0.1,1,"On crimson sands, a robot stands alone,
Echoes of silence, its digital heart a distant home."
Creative,Write a two-sentence poem about a lonely robot on Mars.,0.1,2,"On crimson sands, a robot stands alone,
Echoes of silence, its digital heart a distant home."
Creative,Write a two-sentence poem about a lonely robot on Mars.,0.1,3,"On crimson sands, a robot stands alone,
Echoes of silence, its digital heart a distant home."
Creative,Write a two-sentence poem about a lonely robot on Mars.,0.1,4,"On crimson sands, a robot stands alone,
Echoes of silence, its digital heart a distant home."
Creative,Write a two-sentence poem about a lonely robot on Mars.,0.1,5,"On crimson sands, a robot stands alone,
Echoes of silence, its digital heart a distant home."
Creative,Write a two-sentence poem about a lonely robot on Mars.,0.7,1,"On barren Mars, a robot stands alone,
Echoes of its beeps, a haunting, metallic tone."
Creative,Write a two-sentence poem about a lonely robot on Mars.,0.7,2,"On Mars' barren sands, a robot stands alone,
Echoes of silence, in a distant, crimson home."
Creative,Write a two-sentence poem about a lonely robot on Mars.,0.7,3,"On barren Mars, a robot stands alone, 
Its digital heart beating with a distant, hollow tone."
Creative,Write a two-sentence poem about a lonely robot on Mars.,0.7,4,"On barren Mars, a robot stands alone,
Echoes of silence where its heart once called home."
Creative,Write a two-sentence poem about a lonely robot on Mars.,0.7,5,"On Martian sands, a robot stands alone, 
Echoes of silence, his digital heart's only home."
